name,school,weight,year,seed,wrestler_id,participant_id
ralph|teague,southwestern oklahoma,191,1932,0.0,89404.0,bafa50d9-0caa-487e-b2a2-de22baa9ba6e
robert|jones,indiana (in),191,1932,0.0,92545.0,5ae63bab-1084-4994-b65c-52cfb082dd6d
cliff|stoddard,michigan,191,1932,0.0,23726.0,c8c3f987-4707-480c-a61c-12c2b252432f
john 'jack'|riley,northwestern (il),450,1932,0.0,56854.0,66f33780-a4af-445d-bc0a-feb46f264d84
peter|mehringer,kansas,450,1932,0.0,88129.0,5e7c680d-e97f-439f-878b-5bb0f3a41edc
art|gerber,northern iowa,450,1932,0.0,8473.0,a864dcf3-2fb2-4234-8e6e-fd90164cd4ae
harry|fields,haverford (pa),450,1932,0.0,44424.0,9a290363-142c-4715-bff0-1789fe63132d
rex|peery,oklahoma state,118,1933,0.0,90614.0,625941ee-8961-4369-9ac3-f24870e22629
joe|puerta,illinois,118,1933,0.0,56158.0,f40b22e1-7ab8-4e33-953c-7b01a1fc78f9
milo 'mike'|meixell,lehigh (pa),118,1933,0.0,81735.0,f3fd5e7b-dd3d-4d9d-8043-b791946b5dc4
larry|gibson,iowa state,118,1933,0.0,69097.0,c9764a5b-b26c-498c-a16f-d5ba472d858a
russ|bleakley jr.,franklin & marshall (pa),118,1933,0.0,94211.0,88e58b12-3ab2-4bfe-83c6-7dbee31707ea
ross|flood,oklahoma state,126,1933,0.0,93876.0,c5118600-d17d-4bd1-ad4a-b6c730956311
robert|emmons,illinois,126,1933,0.0,92442.0,a7b917a6-8fbf-43e7-a764-b30b8ad5ebbd
oliver 'ollie'|cellini,indiana (in),126,1933,0.0,85854.0,c7ddc53e-08a5-4929-9009-42a8adbf1ab6
harry 'hj'|bader,franklin & marshall (pa),126,1933,0.0,44410.0,cc143ca2-c1b9-4cee-9e2e-1237b042ce09
bruce|warner,northern iowa,126,1933,0.0,17294.0,170478ac-0826-4108-9e46-73dee802857d
howard|batson jr.,army (ny),126,1933,0.0,45207.0,4cbb1143-01bc-4c72-af7d-a77a8f3d810e
patrick|devine,indiana (in),135,1933,0.0,87048.0,15aec4de-91b6-4674-ade1-58d650f68406
willis 'roy'|phillips,franklin & marshall (pa),135,1933,0.0,111150.0,a2979f83-9938-4a2c-8eef-c84031d6c6b7
eldon|stout,southwestern oklahoma,135,1933,0.0,35802.0,a34ef7e7-bfc6-4d85-b108-cf8c127e73b8
adolph|paris,ursinus (pa),135,1933,0.0,2024.0,d6ba2c56-fe56-4214-9900-507a00153175
pat|johnson,harvard (ma),135,1933,0.0,86806.0,b543bdb3-1628-4c20-b6eb-0da4c8ca8c9f
john|brindley,northern iowa,135,1933,0.0,57015.0,35a030b2-a35f-43f3-aeb7-688beb18406f
kenneth|becker,rochester tech (ny),135,1933,0.0,65406.0,ae7206f1-35b9-4b6c-b41e-a0200e57db7a
thomas|mccray,army (ny),135,1933,0.0,103877.0,77439b22-c730-43a5-bd60-5aa1aebf5ae4
charles|glatzer,kent state (oh),135,1933,0.0,20786.0,ab6208bb-a81d-4994-b6f0-d13bd4732cd6
arch|keller,ohio,135,1933,0.0,8099.0,7768cdc5-dd36-4da1-bad4-98b55868fb15
alan|kelley,oklahoma state,145,1933,0.0,2862.0,cd99f7ad-85c0-40a3-8ee9-16cc76b6b21e
foy|stout,southwestern oklahoma,145,1933,0.0,39388.0,aecc1bc6-b874-41ed-a101-5926df9e4be8
dale|goings,indiana (in),145,1933,0.0,26737.0,2ea63986-9088-4b7f-9946-8dd8b6351974
warren|gunter,oklahoma,145,1933,0.0,110266.0,1cdc7290-fad2-420f-9626-da830148968a
ben|bishop,lehigh (pa),145,1933,0.0,10763.0,1b6dd583-342c-4637-ae43-0e073e3ba194
merrill|frevert,iowa state,155,1933,0.0,78756.0,1c3afcf8-96f5-428d-9d28-8efbb8efe041
warren|landis,virginia military,155,1933,0.0,110271.0,0ef5a3a1-885e-40b1-8219-5278835257b8
tom|cunningham,oklahoma state,155,1933,0.0,105380.0,187382e5-5206-4cd2-a9e0-63db4bb35192
floyd 'ben'|schwartzwalder,west virginia,155,1933,0.0,39340.0,3cefe0de-e3bb-4562-972b-20d9af61f1b9
erich 'gus'|kremer,lehigh (pa),155,1933,0.0,37947.0,05f881cd-351f-46d3-b8db-4ae9c6c1f0bf
glen|brown,indiana (in),155,1933,0.0,42325.0,043c76b5-1b8c-4fc8-b99d-a17d34917fec
george|martin,iowa state,165,1933,0.0,41814.0,a5469842-ae6a-4ad8-b1f9-493222e80db1
clarence 'pete'|peck jr.,lehigh (pa),165,1933,0.0,23407.0,219ffdf9-3e1b-400a-9aec-f09774446b31
marion|foreman,oklahoma,165,1933,0.0,74863.0,ed703458-edb5-4e07-b7ff-88d71f8947f2
orville|england,southwestern oklahoma,165,1933,0.0,86201.0,4b06b341-413c-49ba-9e3b-51c2fb6764bd
olden|gillum,indiana (in),165,1933,0.0,85834.0,22219a1f-6b00-4136-b29c-b4171fbc9e92
robert|hess,iowa state,175,1933,0.0,92513.0,2734cf10-4ac0-480b-8b6d-7152955d8fa6
richard|voliva,indiana (in),175,1933,0.0,91288.0,b8a994a5-bf54-40e1-a083-7213a8b2e640
gordon|dupree,oklahoma state,175,1933,0.0,42502.0,a13ffb8d-1321-4486-a7ec-23a4961478d6
wes|brown jr.,northwestern (il),175,1933,0.0,110501.0,1ba41fa7-3be1-4d30-9fed-bb3a54129e4a
arthur|sweet,southwestern oklahoma,175,1933,0.0,8562.0,6306dbc0-19c6-4280-a57e-6f57d503a24e
ralph|teague,southwestern oklahoma,450,1933,0.0,89404.0,998ffaaf-b129-4682-ac99-59d3182620cf
robert|jones,indiana (in),450,1933,0.0,92545.0,1c05e9f6-a526-405b-a4f2-fb772b90557a
joe|sintic,ohio,450,1933,0.0,56269.0,c39f29c2-4071-4820-87f6-281f60069745
james|hay,brown (ri),450,1933,0.0,49223.0,2bd6ec66-eb33-4f2f-a582-0c3a216d9a3e
francis 'red'|ambrose,lafayette (pa),450,1933,0.0,39436.0,fd7b8c80-03b9-4ea3-984b-6c3e7c3bbbc9
ernest|zellars,indiana state,450,1933,0.0,38168.0,c83157c6-1f3b-413c-9bbd-00f45553c62f
rex|peery,oklahoma state,118,1934,0.0,90614.0,ce2904c6-28f2-41dc-83ca-543a74c1fe53
alvie|natvig,northern iowa,118,1934,0.0,4941.0,bca3a8d2-df24-496e-8cef-d874f66c24f2
howard|bush,indiana (in),118,1934,0.0,45213.0,916ef2d2-e683-4224-a6a7-9b4389e110fa
joe|parkey,southwestern oklahoma,118,1934,0.0,56122.0,d628a15a-544b-4baa-b1c3-65451fdd7643
ross|flood,oklahoma state,126,1934,0.0,93876.0,99d6e7ab-e1c7-4b54-ab3d-16b075c656ce
oliver 'ollie'|cellini,indiana (in),126,1934,0.0,85854.0,8031e4a6-5ebc-4886-964b-c94b25ae675b
eldon|stout,southwestern oklahoma,126,1934,0.0,35802.0,92dd926b-50fc-490b-8f8b-f5c23885250c
isaac 'zeke'|golubitsky,temple (pa),126,1934,0.0,45896.0,8b261b65-5cdf-4ec3-b286-6109e99a269c
wayne|martin,oklahoma,135,1934,0.0,110394.0,45ccc3cb-5e53-4f8f-81fe-c5f81bc2d7d9
roger|leathers,springfield (ma),135,1934,0.0,93167.0,bb25dde3-c3b0-4f4e-af6b-4b9ad4554053
patrick|devine,indiana (in),135,1934,0.0,87048.0,4af38a90-3a3c-4584-96b5-bbcfae6f0cf8
jack|harrod jr.,michigan,135,1934,0.0,47028.0,d265434b-26bf-4a55-95d9-a4501fe5a8cb
kenneth|becker,rochester tech (ny),135,1934,0.0,65406.0,f41279e5-24d7-43df-9ec8-250338615b7c
alan|kelley,oklahoma state,145,1934,0.0,2862.0,8b7456ee-63e6-48c7-b92a-ec4b585d49a2
art|mosier,michigan,145,1934,0.0,8502.0,7aa4d3b1-5c6a-44e8-9028-8c6347c7715a
perd|handley,northwestern (il),145,1934,0.0,87859.0,571ebbdc-8684-4d43-9f30-ddfab3d5ded5
charles|pritchard,washington & lee (va),145,1934,0.0,20890.0,b1d4ee97-a289-4cd1-ab53-54ff1d0b626a
willis 'roy'|phillips,franklin & marshall (pa),145,1934,0.0,111150.0,6a910450-49d5-4a10-bb65-b85193c09810
louis|tomlinson,central oklahoma,145,1934,0.0,71989.0,dba17576-6486-4e07-bf8c-82020490d945
robert|larson,iowa,145,1934,0.0,92577.0,c00f672a-9134-49e7-80cf-dc190ed950de
ben|bishop,lehigh (pa),155,1934,0.0,10763.0,ecb04ec0-2920-4262-a87f-d74b7fca7044
frank|lewis,oklahoma state,155,1934,0.0,39643.0,9ff10252-d8c7-4c8a-bca7-0f39fe785689
